"variable","coefficient","p_value","r_squared","model","fdr"
"taxon_001",0.153454833303361,3.21263743504262e-27,0.021402978664064,"Simple univariate",1.07087914501421e-25
"taxon_002",0.0890917555581766,6.09643068477685e-09,0.00624326405049895,"Simple univariate",8.70918669253836e-08
"taxon_003",0.154181707907691,8.72103111466966e-07,0.00447197776401316,"Simple univariate",8.72103111466967e-06
"taxon_004",0.143538801722518,4.90051507339301e-07,0.00467686328164562,"Simple univariate",5.44501674821446e-06
"taxon_005",0.234774858221379,8.97553740135388e-34,0.0268191937009175,"Simple univariate",4.48776870067694e-32
"taxon_006",-0.0455587851637503,0.0944260308242381,0.000518115247883067,"Simple univariate",0.205273980052691
"taxon_007",0.00884157546690125,0.711916900532304,2.52650498755688e-05,"Simple univariate",0.817820023020787
"taxon_008",0.0458987594996484,0.0357509405918906,0.000816515965140614,"Simple univariate",0.105149825270267
"taxon_009",0.0223555594600284,0.306009969601123,0.000194111552513114,"Simple univariate",0.485730110477973
"taxon_010",0.019924622529794,0.359912253376415,0.000155281946978056,"Simple univariate",0.527211164541637
"taxon_011",0.0447001476053638,0.0316322006586413,0.000855274655047985,"Simple univariate",0.098850627058254
"taxon_012",0.225507019586841,4.20313158355565e-21,0.016331347345528,"Simple univariate",7.00521930592608e-20
"taxon_013",-0.0289301793577663,0.332826071276943,0.000173745088784202,"Simple univariate",0.496755330264095
"taxon_014",-0.0355268754455174,0.415347660606843,0.000122908849527032,"Simple univariate",0.56128062244168
"taxon_015",0.0201048574745378,0.438610661833264,0.000111140551743482,"Simple univariate",0.568891786846149
"taxon_016",0.0583951356153871,0.0310302999349849,0.000861376930266275,"Simple univariate",0.098850627058254
"taxon_017",0.464578067886581,2.63664741255747e-38,0.0305515008040494,"Simple univariate",2.63664741255747e-36
"taxon_018",0.0171628753573603,0.425391674275184,0.000117709037709421,"Simple univariate",0.566551230151186
"taxon_019",-0.0817353047648912,0.066294119187145,0.000624626384944154,"Simple univariate",0.164879322669828
"taxon_020",0.0465292315011494,0.247724390996866,0.000247508344621322,"Simple univariate",0.426362251118976
"taxon_021",-0.0397936446925279,0.0676005222946295,0.000618677055823812,"Simple univariate",0.164879322669828
"taxon_022",-0.00679773657113248,0.843248362735249,7.24428553824299e-06,"Simple univariate",0.906718669607795
"taxon_023",-0.00243762121122251,0.913214848417944,2.20057258027158e-06,"Simple univariate",0.945834710170999
"taxon_024",-0.0568646365025855,0.0400053511789775,0.000781104242717191,"Simple univariate",0.114301003368507
"taxon_025",0.0345620295701088,0.194937019146269,0.000311189258119393,"Simple univariate",0.367805696502395
"taxon_026",0.0497749066982265,0.189840981843593,0.000318402515560783,"Simple univariate",0.367630667724056
"taxon_027",-0.0212858541551498,0.323957095169368,0.000180234537802929,"Simple univariate",0.492740544821553
"taxon_028",0.0399010788794948,0.0268137778328307,0.000907926970723238,"Simple univariate",0.0893792594427689
"taxon_029",-0.0606113079504326,0.0352682172123902,0.000820810169615088,"Simple univariate",0.105149825270267
"taxon_030",0.218974661155014,7.62512747250232e-26,0.0202638001148135,"Simple univariate",1.90628186812558e-24
"taxon_031",0.00482034924632881,0.758070266529828,1.75771994146553e-05,"Simple univariate",0.851764344415537
"taxon_032",0.187446693791046,1.50705791006051e-07,0.00509679568689742,"Simple univariate",1.88382238757564e-06
"taxon_033",-0.0470452257822333,0.0445923517639057,0.000747102023599854,"Simple univariate",0.122893607874151
"taxon_034",-0.00996681751678561,0.524110949233943,7.51794201655728e-05,"Simple univariate",0.639159694187735
"taxon_035",0.262542618752934,1.45964922523505e-25,0.0200301328760928,"Simple univariate",2.9192984504701e-24
"taxon_036",0.076241955411841,0.00169258626347542,0.00182440482203649,"Simple univariate",0.00951764585949199
"taxon_037",-0.0666655092123837,0.00616602100150221,0.00138877673041818,"Simple univariate",0.0268087869630531
"taxon_038",-0.0190895675397327,0.551931268104077,6.5559447979165e-05,"Simple univariate",0.662769920069414
"taxon_039",0.0220191133191757,0.396009402294607,0.000133462173422335,"Simple univariate",0.550013058742509
"taxon_040",-0.00360702913234757,0.868398312380642,5.08646642140206e-06,"Simple univariate",0.914103486716466
"taxon_041",-0.0856315338143365,0.00112982404349906,0.00196226334216377,"Simple univariate",0.00807017173927897
"taxon_042",-0.00898674007334533,0.556726732858308,6.3991179724612e-05,"Simple univariate",0.662769920069414
"taxon_043",-0.023260657377273,0.388418173120151,0.000137811391520085,"Simple univariate",0.550013058742509
"taxon_044",0.0369073836060307,0.168943498576806,0.000350525523685066,"Simple univariate",0.344782650156747
"taxon_045",-0.00805702781402906,0.64159766435531,4.01397679810434e-05,"Simple univariate",0.746043795761988
"taxon_046",0.032940710544747,0.325208759582225,0.000179304504541624,"Simple univariate",0.492740544821553
"taxon_047",-0.063636992726634,0.00406380984759941,0.0015282577349674,"Simple univariate",0.020319049237997
"taxon_048",0.100662952422094,0.0194327270088079,0.00101146579116243,"Simple univariate",0.0747412577261842
"taxon_049",0.0586785156180423,0.0221504522698411,0.000969224883423042,"Simple univariate",0.0791087581065753
"taxon_050",0.030582354289898,0.255817350671386,0.000239202881520563,"Simple univariate",0.426362251118976
"taxon_051",-0.0430829469667449,0.0611985404683451,0.000649090256921714,"Simple univariate",0.156919334534218
"taxon_052",0.0282490812143156,0.394045367742982,0.000134575874324003,"Simple univariate",0.550013058742509
"taxon_053",0.0102179493511332,0.719681620258293,2.38622375785717e-05,"Simple univariate",0.817820023020787
"taxon_054",0.00104434807771456,0.966046370184187,3.35708123157901e-07,"Simple univariate",0.966046370184187
"taxon_055",0.00783288225334374,0.818018350856309,9.80883960905172e-06,"Simple univariate",0.902785845413505
"taxon_056",-0.0106996067059143,0.596190336303152,5.20190537168426e-05,"Simple univariate",0.701400395650767
"taxon_057",-0.0411723424762486,0.0921756974155363,0.000525283026956624,"Simple univariate",0.204834883145636
"taxon_058",-0.0581944294899466,0.00171317625470856,0.00182029139061065,"Simple univariate",0.00951764585949199
"taxon_059",-0.0111256262120626,0.44558628655048,0.000107794952181144,"Simple univariate",0.568891786846149
"taxon_060",-0.0243381387004958,0.454467390134037,0.000103651146444354,"Simple univariate",0.568891786846149
"taxon_061",-0.0351960166363284,0.0724074701720321,0.000597798687738632,"Simple univariate",0.169676686648174
"taxon_062",0.0149911023713076,0.489747411948408,8.83853782458668e-05,"Simple univariate",0.604626434504207
"taxon_063",0.0194621042780149,0.237789611249521,0.000258169600894661,"Simple univariate",0.417174756578107
"taxon_064",0.00443661563771139,0.856211047237381,6.08302566087226e-06,"Simple univariate",0.910862816209979
"taxon_065",0.0175444917158548,0.291463199853452,0.00020615758315054,"Simple univariate",0.470101935247503
"taxon_066",-0.219620462028904,6.71775591143371e-06,0.00374876308725306,"Simple univariate",6.1070508285761e-05
"taxon_067",0.00261240117572985,0.840258048488418,7.527125023014e-06,"Simple univariate",0.906718669607795
"taxon_068",0.0204374682859572,0.215992986975607,0.000283571865786954,"Simple univariate",0.392714521773831
"taxon_069",0.0185593463049932,0.430578934914901,0.000115095067126015,"Simple univariate",0.566551230151186
"taxon_070",0.108981757091998,0.0050857926680622,0.00145307505230574,"Simple univariate",0.0231172394002827
"taxon_071",-0.020848798573223,0.255605008430379,0.000239416652794917,"Simple univariate",0.426362251118976
"taxon_072",0.0421035743468842,0.0242993075081348,0.000939464212823007,"Simple univariate",0.0837907155452926
"taxon_073",-0.0166846133811041,0.455113429476919,0.000103354655085577,"Simple univariate",0.568891786846149
"taxon_074",0.0273398342602872,0.201386070738152,0.00030237092060324,"Simple univariate",0.372937168033614
"taxon_075",0.0906472358338678,0.00159703340286145,0.00184418235339881,"Simple univariate",0.00951764585949199
"taxon_076",-0.0382377175669367,0.050337761926262,0.000709367942057432,"Simple univariate",0.132467794542795
"taxon_077",0.00456773709022134,0.821535119326289,9.42696131939168e-06,"Simple univariate",0.902785845413505
"taxon_078",0.0225549832879409,0.363775703533729,0.000152802857171485,"Simple univariate",0.527211164541637
"taxon_079",-0.0463445136239236,0.235388748616364,0.000260827419970373,"Simple univariate",0.417174756578107
"taxon_080",-0.0548949416715667,0.00137548898008258,0.00189507511929104,"Simple univariate",0.0091699265338839
"taxon_081",0.00185688345984506,0.917459668865869,1.98981579140556e-06,"Simple univariate",0.945834710170999
"taxon_082",-0.0541935265831948,0.0910905950013811,0.000528807552361583,"Simple univariate",0.204834883145636
"taxon_083",-0.0661036896295436,0.123837367220207,0.000438644681520381,"Simple univariate",0.257994515042097
"taxon_084",0.0272618205776566,0.183545517396695,0.000327631363868005,"Simple univariate",0.367091034793389
"taxon_085",-0.0966868339269764,0.000126292936301528,0.00271909724883952,"Simple univariate",0.00105244113584607
"taxon_086",-0.0268688175154674,0.191167947216509,0.000316502672201777,"Simple univariate",0.367630667724056
"taxon_087",0.0749794192244195,0.045470634913436,0.000741012556711605,"Simple univariate",0.122893607874151
"taxon_088",-0.00165515055373377,0.96063580826278,4.51317726076027e-07,"Simple univariate",0.966046370184187
"taxon_089",0.0272173288889037,0.072960975258715,0.000595490428339746,"Simple univariate",0.169676686648174
"taxon_090",0.021091591395053,0.266599307392857,0.00022862808808335,"Simple univariate",0.437048044906323
"taxon_091",-0.0154687605021284,0.40243525616211,0.000129873478256942,"Simple univariate",0.551281172824808
"taxon_092",0.0524686112423135,0.0162902457903077,0.00106867750989903,"Simple univariate",0.0651609831612307
"taxon_093",-0.112967807938421,0.0210520207264593,0.000985615054212828,"Simple univariate",0.0779704471350344
"taxon_094",0.0314425662015279,0.120180321047135,0.00044732360716769,"Simple univariate",0.255702810738586
"taxon_095",0.0420205221503297,0.00457677258001903,0.00148838035560119,"Simple univariate",0.0217941551429478
"taxon_096",0.0127664058943063,0.315147746057455,0.000186916893312147,"Simple univariate",0.492418353214774
"taxon_097",-0.0971436927230643,0.0152071592087077,0.00109107783336222,"Simple univariate",0.0633631633696153
"taxon_098",0.00279997114642564,0.939213517530012,1.07741383204387e-06,"Simple univariate",0.958381140336747
"taxon_099",0.101593977208689,0.000746296966372192,0.0021043604236122,"Simple univariate",0.00574074589517071
"taxon_100",-0.102339994929671,0.00340429385894537,0.00158781344070486,"Simple univariate",0.0179173360997125
"taxon_001",0.136105310508538,1.56252832462529e-24,0.171282992129477,"Covariate-adjusted",1.56252832462529e-22
"taxon_002",0.0910487105770449,2.67325528451966e-10,0.16129371693987,"Covariate-adjusted",1.33662764225983e-08
"taxon_003",0.112410003252378,0.000122203177571799,0.157374286675571,"Covariate-adjusted",0.00203671962619665
"taxon_004",0.104244707097692,0.000112879709220423,0.157397675049426,"Covariate-adjusted",0.00203671962619665
"taxon_005",0.0504180867411501,0.00836132322200923,0.156153963477061,"Covariate-adjusted",0.0597237373000659
"taxon_006",-0.0335291139917361,0.18102128416528,0.155345302007812,"Covariate-adjusted",0.354943694441726
"taxon_007",0.0196259962039664,0.374630538415766,0.155188500132985,"Covariate-adjusted",0.542942809298211
"taxon_008",0.0285724928759579,0.157663315714968,0.155377768156644,"Covariate-adjusted",0.335139020984858
"taxon_009",-0.00402913117340725,0.841390343908543,0.155071275649462,"Covariate-adjusted",0.886216772758357
"taxon_010",-0.0028555386313417,0.888547041677157,0.155068078292445,"Covariate-adjusted",0.906680654772609
"taxon_011",-0.00468985784885922,0.815853473075457,0.155073498643095,"Covariate-adjusted",0.877261799005868
"taxon_012",0.0200882694765734,0.391072522787171,0.155180252824187,"Covariate-adjusted",0.543388927221779
"taxon_013",0.00696354491399107,0.800339276775766,0.155075022989808,"Covariate-adjusted",0.877261799005868
"taxon_014",-0.0472784373974963,0.238769302153309,0.15528243039262,"Covariate-adjusted",0.385111777666627
"taxon_015",-0.0342258143596568,0.160866730072732,0.155373000919984,"Covariate-adjusted",0.335139020984858
"taxon_016",0.0325316521899459,0.208417373185543,0.155312903967087,"Covariate-adjusted",0.355294524335521
"taxon_017",0.187405041626556,6.52958711282922e-08,0.159627820943418,"Covariate-adjusted",2.17652903760974e-06
"taxon_018",-0.00464509960186816,0.815199038958346,0.155073560263432,"Covariate-adjusted",0.877261799005868
"taxon_019",-0.0758446605597539,0.0651250428096772,0.155597852003872,"Covariate-adjusted",0.222418617813098
"taxon_020",-0.0102562467955026,0.787065817182374,0.155076433754953,"Covariate-adjusted",0.874517574647083
"taxon_021",-0.0172116189596214,0.391240027599681,0.155180171351013,"Covariate-adjusted",0.543388927221779
"taxon_022",0.0109764125607238,0.729238025047928,0.155083773804287,"Covariate-adjusted",0.851592637749966
"taxon_023",0.020357105180107,0.323452991268396,0.155217746528857,"Covariate-adjusted",0.487463341563211
"taxon_024",-0.0445440280937309,0.080824984980046,0.155542484827285,"Covariate-adjusted",0.233091767145592
"taxon_025",0.00858358152484318,0.734647163412781,0.155083002120587,"Covariate-adjusted",0.851592637749966
"taxon_026",0.0065313660744038,0.852476200968339,0.15507041934832,"Covariate-adjusted",0.886216772758357
"taxon_027",-0.0273141200724861,0.169252231472464,0.155361017763859,"Covariate-adjusted",0.345412717290743
"taxon_028",0.0362363297736045,0.0290585387569505,0.15581115073148,"Covariate-adjusted",0.138373994080717
"taxon_029",-0.0539777388604282,0.0417616528265092,0.155714193914573,"Covariate-adjusted",0.174006886777122
"taxon_030",0.0379155188153174,0.0611648521596369,0.155614091204657,"Covariate-adjusted",0.218445900570132
"taxon_031",0.0204791875743152,0.156387908062544,0.155379696935399,"Covariate-adjusted",0.335139020984858
"taxon_032",0.162810032233991,7.25409597551892e-07,0.15890236706549,"Covariate-adjusted",1.81352399387973e-05
"taxon_033",-0.0281853080266153,0.191314269110953,0.155332496686805,"Covariate-adjusted",0.355294524335521
"taxon_034",-0.00548405379239726,0.703675283487915,0.155087669623286,"Covariate-adjusted",0.847801546370982
"taxon_035",0.0565337956264354,0.021558712847685,0.155892068500346,"Covariate-adjusted",0.134741955298031
"taxon_036",0.0822778956224908,0.000233895163596796,0.157183427202697,"Covariate-adjusted",0.00334135947995423
"taxon_037",-0.0723403735510531,0.00124556614339001,0.156696338479464,"Covariate-adjusted",0.0124556614339001
"taxon_038",-0.0106430727798022,0.718405630591563,0.1550853740204,"Covariate-adjusted",0.851592637749966
"taxon_039",0.0522237989194372,0.0288927602824126,0.155812692690642,"Covariate-adjusted",0.138373994080717
"taxon_040",-0.00197307096025755,0.921783156100061,0.155066511551312,"Covariate-adjusted",0.921783156100061
"taxon_041",-0.0861639553740684,0.000395360072142983,0.157029761701587,"Covariate-adjusted",0.00494200090178729
"taxon_042",-0.0123069115567293,0.381943686258611,0.155184769778903,"Covariate-adjusted",0.543388927221779
"taxon_043",-0.0121178001894066,0.62609728260807,0.155102196144642,"Covariate-adjusted",0.772959608158111
"taxon_044",0.0312757247897783,0.205862872179406,0.155315707662958,"Covariate-adjusted",0.355294524335521
"taxon_045",0.01290053886272,0.419214712786619,0.155167235528127,"Covariate-adjusted",0.553039746949954
"taxon_046",0.047317676384198,0.126884676390417,0.155430036002981,"Covariate-adjusted",0.317211690976044
"taxon_047",-0.0426791727088615,0.0369766118956045,0.155746547907442,"Covariate-adjusted",0.168075508616384
"taxon_048",0.0600777558913877,0.130190387301987,0.15542377463094,"Covariate-adjusted",0.317537530004846
"taxon_049",0.0736098292074691,0.00187097126190043,0.156579120570114,"Covariate-adjusted",0.0170088296536403
"taxon_050",0.00822546795041091,0.74088559484247,0.155082134482291,"Covariate-adjusted",0.851592637749966
"taxon_051",-0.0427940405467679,0.0437323888413667,0.155701985735759,"Covariate-adjusted",0.174929555365467
"taxon_052",0.0132289465726129,0.664587735629834,0.155094457368663,"Covariate-adjusted",0.810472848329065
"taxon_053",-0.00768069860897753,0.770254454745989,0.155078364467068,"Covariate-adjusted",0.873968877205125
"taxon_054",-0.0249896410807189,0.27040177492803,0.155255308504334,"Covariate-adjusted",0.416002730658508
"taxon_055",-0.0294017502230427,0.347977488798133,0.15520300261241,"Covariate-adjusted",0.511731601173725
"taxon_056",0.00347536983698941,0.851704666212324,0.155070476838215,"Covariate-adjusted",0.886216772758357
"taxon_057",-0.0385260050209949,0.0868022646215147,0.155524392026508,"Covariate-adjusted",0.234600715193283
"taxon_058",-0.0414826954468524,0.0151611696898275,0.15598858000939,"Covariate-adjusted",0.10107446459885
"taxon_059",-0.0168430485585294,0.209623769357957,0.155311593973586,"Covariate-adjusted",0.355294524335521
"taxon_060",-0.024718741045547,0.409111003361043,0.155171758066299,"Covariate-adjusted",0.553039746949954
"taxon_061",-0.0314627830575047,0.0815821185009573,0.155540114517137,"Covariate-adjusted",0.233091767145592
"taxon_062",0.00353727984727645,0.859630269575606,0.155069901188695,"Covariate-adjusted",0.886216772758357
"taxon_063",0.0179219183082805,0.23807746642676,0.155283072069121,"Covariate-adjusted",0.385111777666627
"taxon_064",0.0317790624605333,0.158874699258299,0.155375952554359,"Covariate-adjusted",0.335139020984858
"taxon_065",0.0280809050460698,0.0667364330722276,0.155591543563988,"Covariate-adjusted",0.222418617813098
"taxon_066",-0.130090076386582,0.00384538518048734,0.156373173477883,"Covariate-adjusted",0.0320226275111362
"taxon_067",0.0153296621263106,0.199138270233593,0.155323288776935,"Covariate-adjusted",0.355294524335521
"taxon_068",0.0265299588874439,0.0814115613162919,0.155540646393774,"Covariate-adjusted",0.233091767145592
"taxon_069",0.0153830716240085,0.479234943469292,0.155143435453678,"Covariate-adjusted",0.622383043466613
"taxon_070",0.0407675609216647,0.25923310329655,0.155264416214299,"Covariate-adjusted",0.40505172390086
"taxon_071",-0.0240229296322195,0.154514152592496,0.15538256322565,"Covariate-adjusted",0.335139020984858
"taxon_072",0.0387522748203927,0.0244381431088567,0.155857976888109,"Covariate-adjusted",0.135767461715871
"taxon_073",-0.0165635374716663,0.420310207681965,0.155166754883841,"Covariate-adjusted",0.553039746949954
"taxon_074",0.0317171358808814,0.107437245967394,0.155470960924746,"Covariate-adjusted",0.282729594651037
"taxon_075",0.0587601669117777,0.026682949141067,0.155834173650125,"Covariate-adjusted",0.138373994080717
"taxon_076",-0.0252896281460965,0.160117225980027,0.155374106567002,"Covariate-adjusted",0.335139020984858
"taxon_077",0.00915108865811907,0.624257978602959,0.15510259376532,"Covariate-adjusted",0.772959608158111
"taxon_078",0.0125159989334371,0.585279433881964,0.155111657466395,"Covariate-adjusted",0.750358248566621
"taxon_079",-0.0477042229143721,0.185754897411364,0.155339310691814,"Covariate-adjusted",0.355294524335521
"taxon_080",-0.0214409447812532,0.176872719111843,0.155350703853836,"Covariate-adjusted",0.353745438223686
"taxon_081",0.00466375766786213,0.777832300712561,0.155077474067078,"Covariate-adjusted",0.873968877205125
"taxon_082",-0.0384777670024098,0.193157915555943,0.155330287770302,"Covariate-adjusted",0.355294524335521
