"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"days",90,2,0.8,0.284210526315789,0.944444444444444,72
"days",90,3,1,0.315789473684211,0.928571428571429,70
"days",90,4,1,0.357894736842105,0.924242424242424,66
"days",90,5,0.6,0.4,0.95,60
"days",90,6,1,0.178947368421053,0.939759036144578,83
"days",90,7,1,0.136842105263158,0.942528735632184,87
"days",90,8,1,0.168421052631579,0.94047619047619,84
"days",90,9,1,0.421052631578947,0.916666666666667,60
"days",90,10,0.8,0.357894736842105,0.938461538461538,65
"days",90,11,0.8,0.389473684210526,0.935483870967742,62
"days",90,12,1,0.242105263157895,0.935064935064935,77
"days",90,13,1,0.136842105263158,0.942528735632184,87
"days",90,14,1,0.221052631578947,0.936708860759494,79
"days",90,15,0.6,0.126315789473684,0.965116279069767,86
"days",90,16,1,0.284210526315789,0.931506849315068,73
"days",90,17,1,0.231578947368421,0.935897435897436,78
"days",90,18,1,0.463157894736842,0.910714285714286,56
"days",90,19,0.8,0.347368421052632,0.939393939393939,66
"days",90,20,1,0.178947368421053,0.939759036144578,83
"days",90,21,1,0.147368421052632,0.941860465116279,86
"days",90,22,1,0.442105263157895,0.913793103448276,58
"days",90,23,1,0.231578947368421,0.935897435897436,78
"days",90,24,1,0.2,0.938271604938272,81
"days",90,25,1,0.263157894736842,0.933333333333333,75
"days",90,26,1,0.221052631578947,0.936708860759494,79
"days",90,27,1,0.136842105263158,0.942528735632184,87
"days",90,28,1,0.515789473684211,0.901960784313726,51
"days",90,29,1,0.273684210526316,0.932432432432432,74
"days",90,30,1,0.168421052631579,0.94047619047619,84
"days",90,31,1,0.305263157894737,0.929577464788732,71
"days",90,32,0.6,0.221052631578947,0.961038961038961,77
"days",90,33,1,0.389473684210526,0.920634920634921,63
"days",90,34,1,0.252631578947368,0.934210526315789,76
"days",90,35,0.8,0.431578947368421,0.931034482758621,58
"days",90,36,0.8,0.378947368421053,0.936507936507937,63
"days",90,37,0.8,0.294736842105263,0.943661971830986,71
"days",90,38,1,0.347368421052632,0.925373134328358,67
"days",90,39,0.8,0.231578947368421,0.948051948051948,77
"days",90,40,1,0.284210526315789,0.931506849315068,73
"days",90,41,1,0.284210526315789,0.931506849315068,73
"days",90,42,1,0.189473684210526,0.939024390243902,82
"days",90,43,1,0.178947368421053,0.939759036144578,83
"days",90,44,1,0.410526315789474,0.918032786885246,61
"days",90,45,0.8,0.326315789473684,0.941176470588235,68
"days",90,46,1,0.705263157894737,0.848484848484849,33
"days",90,47,1,0.336842105263158,0.926470588235294,68
"days",90,48,0.8,0.231578947368421,0.948051948051948,77
"days",90,49,1,0.263157894736842,0.933333333333333,75
"days",90,50,1,0.231578947368421,0.935897435897436,78
"days",180,1,1,0.231578947368421,0.935897435897436,78
"days",180,2,1,0.210526315789474,0.9375,80
"days",180,3,1,0.178947368421053,0.939759036144578,83
"days",180,4,1,0.252631578947368,0.934210526315789,76
"days",180,5,1,0.578947368421053,0.888888888888889,45
"days",180,6,0.8,0.326315789473684,0.941176470588235,68
"days",180,7,1,0.305263157894737,0.929577464788732,71
"days",180,8,1,0.315789473684211,0.928571428571429,70
"days",180,9,1,0.526315789473684,0.9,50
"days",180,10,1,0.505263157894737,0.903846153846154,52
"days",180,11,1,0.515789473684211,0.901960784313726,51
"days",180,12,1,0.4,0.919354838709677,62
"days",180,13,1,0.684210526315789,0.857142857142857,35
"days",180,14,1,0.452631578947368,0.912280701754386,57
"days",180,15,1,0.221052631578947,0.936708860759494,79
"days",180,16,0.8,0.452631578947368,0.928571428571429,56
"days",180,17,1,0.2,0.938271604938272,81
"days",180,18,1,0.178947368421053,0.939759036144578,83
"days",180,19,0.8,0.421052631578947,0.932203389830508,59
"days",180,20,1,0.484210526315789,0.907407407407407,54
"days",180,21,1,0.315789473684211,0.928571428571429,70
"days",180,22,1,0.442105263157895,0.913793103448276,58
"days",180,23,1,0.284210526315789,0.931506849315068,73
"days",180,24,1,0.263157894736842,0.933333333333333,75
"days",180,25,1,0.494736842105263,0.905660377358491,53
"days",180,26,1,0.452631578947368,0.912280701754386,57
"days",180,27,1,0.305263157894737,0.929577464788732,71
"days",180,28,1,0.326315789473684,0.927536231884058,69
"days",180,29,1,0.294736842105263,0.930555555555556,72
"days",180,30,1,0.284210526315789,0.931506849315068,73
"days",180,31,1,0.252631578947368,0.934210526315789,76
"days",180,32,1,0.252631578947368,0.934210526315789,76
"days",180,33,1,0.421052631578947,0.916666666666667,60
"days",180,34,0.8,0.242105263157895,0.947368421052632,76
"days",180,35,1,0.315789473684211,0.928571428571429,70
"days",180,36,1,0.4,0.919354838709677,62
"days",180,37,1,0.421052631578947,0.916666666666667,60
"days",180,38,1,0.484210526315789,0.907407407407407,54
"days",180,39,1,0.378947368421053,0.921875,64
"days",180,40,1,0.147368421052632,0.941860465116279,86
"days",180,41,1,0.294736842105263,0.930555555555556,72
"days",180,42,1,0.536842105263158,0.897959183673469,49
"days",180,43,1,0.221052631578947,0.936708860759494,79
"days",180,44,1,0.315789473684211,0.928571428571429,70
"days",180,45,1,0.526315789473684,0.9,50
"days",180,46,1,0.210526315789474,0.9375,80
"days",180,47,1,0.389473684210526,0.920634920634921,63
"days",180,48,1,0.410526315789474,0.918032786885246,61
"days",180,49,1,0.189473684210526,0.939024390243902,82
"days",180,50,1,0.263157894736842,0.933333333333333,75
"effect_size",0.5,1,0.8,0.463157894736842,0.927272727272727,55
"effect_size",0.5,2,1,0.221052631578947,0.936708860759494,79
"effect_size",0.5,3,0.8,0.536842105263158,0.916666666666667,48
"effect_size",0.5,4,0.4,0.484210526315789,0.96078431372549,51
"effect_size",0.5,5,1,0.378947368421053,0.921875,64
"effect_size",0.5,6,0.8,0.326315789473684,0.941176470588235,68
"effect_size",0.5,7,0.8,0.421052631578947,0.932203389830508,59
"effect_size",0.5,8,1,0.431578947368421,0.915254237288136,59
"effect_size",0.5,9,1,0.726315789473684,0.838709677419355,31
"effect_size",0.5,10,0.8,0.642105263157895,0.894736842105263,38
"effect_size",0.5,11,1,0.389473684210526,0.920634920634921,63
"effect_size",0.5,12,1,0.378947368421053,0.921875,64
"effect_size",0.5,13,1,0.431578947368421,0.915254237288136,59
"effect_size",0.5,14,0.8,0.589473684210526,0.906976744186046,43
"effect_size",0.5,15,1,0.557894736842105,0.893617021276596,47
"effect_size",0.5,16,0.8,0.463157894736842,0.927272727272727,55
"effect_size",0.5,17,0.8,0.210526315789474,0.949367088607595,79
"effect_size",0.5,18,1,0.368421052631579,0.923076923076923,65
"effect_size",0.5,19,1,0.294736842105263,0.930555555555556,72
"effect_size",0.5,20,0.8,0.326315789473684,0.941176470588235,68
"effect_size",0.5,21,1,0.463157894736842,0.910714285714286,56
"effect_size",0.5,22,1,0.631578947368421,0.875,40
"effect_size",0.5,23,1,0.336842105263158,0.926470588235294,68
"effect_size",0.5,24,0.6,0.221052631578947,0.961038961038961,77
"effect_size",0.5,25,1,0.347368421052632,0.925373134328358,67
"effect_size",0.5,26,0.6,0.410526315789474,0.949152542372881,59
"effect_size",0.5,27,0.8,0.305263157894737,0.942857142857143,70
"effect_size",0.5,28,1,0.410526315789474,0.918032786885246,61
"effect_size",0.5,29,1,0.6,0.883720930232558,43
"effect_size",0.5,30,0.8,0.242105263157895,0.947368421052632,76
"effect_size",0.5,31,1,0.431578947368421,0.915254237288136,59
"effect_size",0.5,32,0.8,0.421052631578947,0.932203389830508,59
"effect_size",0.5,33,1,0.368421052631579,0.923076923076923,65
"effect_size",0.5,34,1,0.421052631578947,0.916666666666667,60
"effect_size",0.5,35,1,0.410526315789474,0.918032786885246,61
"effect_size",0.5,36,0.8,0.663157894736842,0.888888888888889,36
"effect_size",0.5,37,0.8,0.494736842105263,0.923076923076923,52
"effect_size",0.5,38,1,0.315789473684211,0.928571428571429,70
"effect_size",0.5,39,0.8,0.463157894736842,0.927272727272727,55
"effect_size",0.5,40,1,0.526315789473684,0.9,50
"effect_size",0.5,41,1,0.294736842105263,0.930555555555556,72
"effect_size",0.5,42,1,0.452631578947368,0.912280701754386,57
"effect_size",0.5,43,1,0.368421052631579,0.923076923076923,65
"effect_size",0.5,44,0.6,0.326315789473684,0.955223880597015,67
"effect_size",0.5,45,0.8,0.284210526315789,0.944444444444444,72
"effect_size",0.5,46,1,0.442105263157895,0.913793103448276,58
"effect_size",0.5,47,0.6,0.642105263157895,0.918918918918919,37
"effect_size",0.5,48,0.6,0.652631578947368,0.916666666666667,36
"effect_size",0.5,49,0.8,0.410526315789474,0.933333333333333,60
"effect_size",0.5,50,0.8,0.642105263157895,0.894736842105263,38
"effect_size",1,1,0.8,0.368421052631579,0.9375,64
"effect_size",1,2,0.8,0.105263157894737,0.955056179775281,89
"effect_size",1,3,1,0.2,0.938271604938272,81
"effect_size",1,4,0.8,0.210526315789474,0.949367088607595,79
"effect_size",1,5,1,0.4,0.919354838709677,62
"effect_size",1,6,1,0.442105263157895,0.913793103448276,58
"effect_size",1,7,1,0.357894736842105,0.924242424242424,66
"effect_size",1,8,1,0.189473684210526,0.939024390243902,82
"effect_size",1,9,0.8,0.357894736842105,0.938461538461538,65
"effect_size",1,10,1,0.252631578947368,0.934210526315789,76
"effect_size",1,11,1,0.568421052631579,0.891304347826087,46
"effect_size",1,12,1,0.421052631578947,0.916666666666667,60
"effect_size",1,13,1,0.178947368421053,0.939759036144578,83
"effect_size",1,14,0.8,0.178947368421053,0.951219512195122,82
"effect_size",1,15,1,0.2,0.938271604938272,81
"effect_size",1,16,1,0.157894736842105,0.941176470588235,85
"effect_size",1,17,1,0.431578947368421,0.915254237288136,59
"effect_size",1,18,1,0.357894736842105,0.924242424242424,66
"effect_size",1,19,1,0.221052631578947,0.936708860759494,79
"effect_size",1,20,1,0.157894736842105,0.941176470588235,85
"effect_size",1,21,1,0.315789473684211,0.928571428571429,70
"effect_size",1,22,0.8,0.431578947368421,0.931034482758621,58
"effect_size",1,23,1,0.263157894736842,0.933333333333333,75
"effect_size",1,24,1,0.273684210526316,0.932432432432432,74
"effect_size",1,25,1,0.368421052631579,0.923076923076923,65
"effect_size",1,26,0.6,0.315789473684211,0.955882352941177,68
"effect_size",1,27,0.8,0.242105263157895,0.947368421052632,76
"effect_size",1,28,0.8,0.315789473684211,0.942028985507246,69
"effect_size",1,29,1,0.284210526315789,0.931506849315068,73
"effect_size",1,30,1,0.115789473684211,0.943820224719101,89
"effect_size",1,31,1,0.242105263157895,0.935064935064935,77
"effect_size",1,32,1,0.294736842105263,0.930555555555556,72
"effect_size",1,33,0.8,0.210526315789474,0.949367088607595,79
"effect_size",1,34,0.8,0.147368421052632,0.952941176470588,85
"effect_size",1,35,1,0.284210526315789,0.931506849315068,73
"effect_size",1,36,1,0.368421052631579,0.923076923076923,65
"effect_size",1,37,0.8,0.221052631578947,0.948717948717949,78
"effect_size",1,38,1,0.294736842105263,0.930555555555556,72
"effect_size",1,39,1,0.242105263157895,0.935064935064935,77
"effect_size",1,40,1,0.273684210526316,0.932432432432432,74
"effect_size",1,41,0.8,0.484210526315789,0.924528301886792,53
"effect_size",1,42,1,0.136842105263158,0.942528735632184,87
"effect_size",1,43,1,0.178947368421053,0.939759036144578,83
"effect_size",1,44,0.6,0.221052631578947,0.961038961038961,77
"effect_size",1,45,0.8,0.294736842105263,0.943661971830986,71
"effect_size",1,46,1,0.284210526315789,0.931506849315068,73
"effect_size",1,47,1,0.115789473684211,0.943820224719101,89
"effect_size",1,48,1,0.326315789473684,0.927536231884058,69
"effect_size",1,49,1,0.494736842105263,0.905660377358491,53
"effect_size",1,50,1,0.368421052631579,0.923076923076923,65
"effect_size",1.5,1,0.6,0.315789473684211,0.955882352941177,68
"effect_size",1.5,2,0.8,0.2,0.95,80
"effect_size",1.5,3,0.8,0.263157894736842,0.945945945945946,74
"effect_size",1.5,4,1,0.136842105263158,0.942528735632184,87
"effect_size",1.5,5,1,0.2,0.938271604938272,81
"effect_size",1.5,6,1,0.294736842105263,0.930555555555556,72
"effect_size",1.5,7,0.8,0.252631578947368,0.946666666666667,75
"effect_size",1.5,8,0.6,0.284210526315789,0.957746478873239,71
"effect_size",1.5,9,1,0.189473684210526,0.939024390243902,82
"effect_size",1.5,10,0.8,0.273684210526316,0.945205479452055,73
"effect_size",1.5,11,0.8,0.157894736842105,0.952380952380952,84
"effect_size",1.5,12,0.8,0.263157894736842,0.945945945945946,74
"effect_size",1.5,13,1,0.189473684210526,0.939024390243902,82
"effect_size",1.5,14,0.6,0.473684210526316,0.943396226415094,53
"effect_size",1.5,15,0.6,0.136842105263158,0.964705882352941,85
"effect_size",1.5,16,1,0.294736842105263,0.930555555555556,72
"effect_size",1.5,17,0.6,0.210526315789474,0.961538461538462,78
"effect_size",1.5,18,1,0.231578947368421,0.935897435897436,78
"effect_size",1.5,19,1,0.157894736842105,0.941176470588235,85
"effect_size",1.5,20,1,0.157894736842105,0.941176470588235,85
"effect_size",1.5,21,1,0.284210526315789,0.931506849315068,73
"effect_size",1.5,22,0.6,0.273684210526316,0.958333333333333,72
"effect_size",1.5,23,0.6,0.2,0.962025316455696,79
"effect_size",1.5,24,1,0.2,0.938271604938272,81
"effect_size",1.5,25,1,0.0842105263157895,0.945652173913043,92
"effect_size",1.5,26,1,0.347368421052632,0.925373134328358,67
"effect_size",1.5,27,0.8,0.505263157894737,0.92156862745098,51
"effect_size",1.5,28,1,0.168421052631579,0.94047619047619,84
"effect_size",1.5,29,1,0.326315789473684,0.927536231884058,69
"effect_size",1.5,30,1,0.252631578947368,0.934210526315789,76
"effect_size",1.5,31,1,0.263157894736842,0.933333333333333,75
"effect_size",1.5,32,0.8,0.284210526315789,0.944444444444444,72
"effect_size",1.5,33,1,0.168421052631579,0.94047619047619,84
"effect_size",1.5,34,0.6,0.315789473684211,0.955882352941177,68
"effect_size",1.5,35,0.8,0.452631578947368,0.928571428571429,56
"effect_size",1.5,36,1,0.126315789473684,0.943181818181818,88
"effect_size",1.5,37,0.8,0.221052631578947,0.948717948717949,78
"effect_size",1.5,38,0.8,0.284210526315789,0.944444444444444,72
"effect_size",1.5,39,0.8,0.136842105263158,0.953488372093023,86
"effect_size",1.5,40,0.8,0.389473684210526,0.935483870967742,62
"effect_size",1.5,41,1,0.210526315789474,0.9375,80
"effect_size",1.5,42,1,0.252631578947368,0.934210526315789,76
"effect_size",1.5,43,0.8,0.368421052631579,0.9375,64
"effect_size",1.5,44,0.6,0.136842105263158,0.964705882352941,85
"effect_size",1.5,45,0.6,0.2,0.962025316455696,79
"effect_size",1.5,46,0.8,0.105263157894737,0.955056179775281,89
"effect_size",1.5,47,0.4,0.505263157894737,0.959183673469388,49
"effect_size",1.5,48,0.6,0.242105263157895,0.96,75
"effect_size",1.5,49,0.2,0.305263157894737,0.985074626865672,67
"effect_size",1.5,50,0.8,0.284210526315789,0.944444444444444,72
"effect_size",2,1,0.8,0.231578947368421,0.948051948051948,77
"effect_size",2,2,0.4,0.210526315789474,0.974025974025974,77
"effect_size",2,3,1,0.2,0.938271604938272,81
"effect_size",2,4,1,0.210526315789474,0.9375,80
"effect_size",2,5,1,0.105263157894737,0.944444444444444,90
"effect_size",2,6,0.6,0.178947368421053,0.962962962962963,81
"effect_size",2,7,1,0.294736842105263,0.930555555555556,72
"effect_size",2,8,1,0.0842105263157895,0.945652173913043,92
"effect_size",2,9,0.6,0.4,0.95,60
"effect_size",2,10,0.6,0.221052631578947,0.961038961038961,77
"effect_size",2,11,0.8,0.2,0.95,80
"effect_size",2,12,1,0.105263157894737,0.944444444444444,90
"effect_size",2,13,0.8,0.178947368421053,0.951219512195122,82
"effect_size",2,14,1,0.263157894736842,0.933333333333333,75
"effect_size",2,15,1,0.336842105263158,0.926470588235294,68
"effect_size",2,16,0.4,0.315789473684211,0.970149253731343,67
"effect_size",2,17,0.8,0.336842105263158,0.940298507462687,67
"effect_size",2,18,0.8,0.273684210526316,0.945205479452055,73
"effect_size",2,19,1,0.221052631578947,0.936708860759494,79
"effect_size",2,20,0.8,0.326315789473684,0.941176470588235,68
"effect_size",2,21,1,0.357894736842105,0.924242424242424,66
"effect_size",2,22,1,0.326315789473684,0.927536231884058,69
"effect_size",2,23,0.8,0.315789473684211,0.942028985507246,69
"effect_size",2,24,0.8,0.284210526315789,0.944444444444444,72
"effect_size",2,25,1,0.0736842105263158,0.946236559139785,93
"effect_size",2,26,0.8,0.221052631578947,0.948717948717949,78
"effect_size",2,27,1,0.0947368421052632,0.945054945054945,91
"effect_size",2,28,0.8,0.2,0.95,80
"effect_size",2,29,1,0.284210526315789,0.931506849315068,73
"effect_size",2,30,0.4,0.294736842105263,0.971014492753623,69
"effect_size",2,31,1,0.2,0.938271604938272,81
"effect_size",2,32,1,0.147368421052632,0.941860465116279,86
"effect_size",2,33,0.8,0.157894736842105,0.952380952380952,84
"effect_size",2,34,1,0.168421052631579,0.94047619047619,84
"effect_size",2,35,0.8,0.263157894736842,0.945945945945946,74
"effect_size",2,36,0.8,0.189473684210526,0.950617283950617,81
"effect_size",2,37,1,0.2,0.938271604938272,81
"effect_size",2,38,0.8,0.326315789473684,0.941176470588235,68
"effect_size",2,39,1,0.210526315789474,0.9375,80
"effect_size",2,40,1,0.242105263157895,0.935064935064935,77
"effect_size",2,41,1,0.168421052631579,0.94047619047619,84
"effect_size",2,42,0.8,0.242105263157895,0.947368421052632,76
"effect_size",2,43,1,0.115789473684211,0.943820224719101,89
"effect_size",2,44,0.8,0.210526315789474,0.949367088607595,79
"effect_size",2,45,1,0.231578947368421,0.935897435897436,78
"effect_size",2,46,0.8,0.115789473684211,0.954545454545455,88
"effect_size",2,47,1,0.126315789473684,0.943181818181818,88
"effect_size",2,48,0.4,0.357894736842105,0.968253968253968,63
"effect_size",2,49,0.8,0.252631578947368,0.946666666666667,75
"effect_size",2,50,0.6,0.2,0.962025316455696,79
